colour_name,rgb_value
red,"(255, 0, 0)"
lime,"(0, 255, 0)"
blue,"(0, 0, 255)"
yellow,"(255, 255, 0)"
cyan (aqua),"(0, 255, 255)"
magenta (fuchsia),"(255, 0, 255)"
orange,"(255, 165, 0)"
purple,"(128, 0, 128)"
pink,"(255, 192, 203)"
brown,"(165, 42, 42)"
black,"(0, 0, 0)"
white,"(255, 255, 255)"
gray,"(128, 128, 128)"
light gray,"(211, 211, 211)"
dark gray,"(169, 169, 169)"
gold,"(255, 215, 0)"
silver,"(192, 192, 192)"
teal,"(0, 128, 128)"
navy,"(0, 0, 128)"
maroon,"(128, 0, 0)"
olive,"(128, 128, 0)"
indigo,"(75, 0, 130)"
violet,"(238, 130, 238)"
turquoise,"(64, 224, 208)"
orchid,"(218, 112, 214)"
crimson,"(220, 20, 60)"
coral,"(255, 127, 80)"
deeppink,"(255, 20, 147)"
dodgerblue,"(30, 144, 255)"
forestgreen,"(34, 139, 34)"
hotpink,"(255, 105, 180)"
khaki,"(240, 230, 140)"
lightblue,"(173, 216, 230)"
mediumpurple,"(147, 112, 219)"
palegreen,"(152, 251, 152)"
royalblue,"(65, 105, 225)"
sandybrown,"(244, 164, 96)"
seagreen,"(46, 139, 87)"
slateblue,"(106, 90, 205)"
springgreen,"(0, 255, 127)"
tomato,"(255, 99, 71)"
aquamarine,"(127, 255, 212)"
azure,"(240, 255, 255)"
beige,"(245, 245, 220)"
bisque,"(255, 228, 196)"
blanchedalmond,"(255, 235, 205)"
blueviolet,"(138, 43, 226)"
burlywood,"(222, 184, 135)"
cadetblue,"(95, 158, 160)"
chartreuse,"(127, 255, 0)"
chocolate,"(210, 105, 30)"
cornflowerblue,"(100, 149, 237)"
darkblue,"(0, 0, 139)"
darkcyan,"(0, 139, 139)"
darkgoldenrod,"(184, 134, 11)"
darkgreen,"(0, 100, 0)"
darkkhaki,"(189, 183, 107)"
darkmagenta,"(139, 0, 139)"
darkolivegreen,"(85, 107, 47)"
darkorange,"(255, 140, 0)"
darkorchid,"(153, 50, 204)"
darkred,"(139, 0, 0)"
darksalmon,"(233, 150, 122)"
darkseagreen,"(143, 188, 143)"
darkslateblue,"(72, 61, 139)"
darkslategray,"(47, 79, 79)"
darkturquoise,"(0, 206, 209)"
darkviolet,"(148, 0, 211)"
deepskyblue,"(0, 191, 255)"
dimgray,"(105, 105, 105)"
firebrick,"(178, 34, 34)"
floralwhite,"(255, 250, 240)"
gainsboro,"(220, 220, 220)"
ghostwhite,"(248, 248, 255)"
greenyellow,"(173, 255, 47)"
honeydew,"(240, 255, 240)"
indianred,"(205, 92, 92)"
ivory,"(255, 255, 240)"
lavender,"(230, 230, 250)"
lavenderblush,"(255, 240, 245)"
lawngreen,"(124, 252, 0)"
lemonchiffon,"(255, 250, 205)"
lightcoral,"(240, 128, 128)"
lightcyan,"(224, 255, 255)"
lightgoldenrodyellow,"(250, 250, 210)"
lightgreen,"(144, 238, 144)"
lightpink,"(255, 182, 193)"
lightsalmon,"(255, 160, 122)"
lightseagreen,"(32, 178, 170)"
lightskyblue,"(135, 206, 250)"
lightslategray,"(119, 136, 153)"
lightsteelblue,"(176, 196, 222)"
lightyellow,"(255, 255, 224)"
linen,"(250, 240, 230)"
mediumaquamarine,"(102, 205, 170)"
mediumblue,"(0, 0, 205)"
mediumorchid,"(186, 85, 211)"
mediumseagreen,"(60, 179, 113)"
mediumslateblue,"(123, 104, 238)"
mediumspringgreen,"(0, 250, 154)"
mediumturquoise,"(72, 209, 204)"
mediumvioletred,"(199, 21, 133)"
mintcream,"(245, 255, 250)"
mistyrose,"(255, 228, 225)"
moccasin,"(255, 228, 181)"
navajowhite,"(255, 222, 173)"
oldlace,"(253, 245, 230)"
